sofifa_id,player_url,short_name,long_name,matching_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
200389,https://sofifa.com/player/200389/jan-oblak/220002,J. Oblak,Jan Oblak,jan-oblak,GK,91,93,112000000,130000,28,1993-01-07,188,87,240,Atlético de Madrid,Spain Primera Division,1,GK,13,,2014-07-16,2023,44,Slovenia,,,,Right,3,1,5,Medium/Medium,Unique,Yes,238000000,,"GK Long Throw, Comes For Crosses",,,,,,,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,90,50,33+3,33+3,33+3,32,35,35,35,32,38+3,38+3,38+3,35+3,38+3,38+3,38+3,35+3,32+3,36+3,36+3,36+3,32+3,32+3,33+3,33+3,33+3,32+3,89+3,https://cdn.sofifa.net/players/200/389/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/si.png
212622,https://sofifa.com/player/212622/joshua-kimmich/220002,J. Kimmich,Joshua Walter Kimmich,joshua-kimmich,"CDM, RB",89,90,108000000,160000,26,1995-02-08,177,75,21,FC Bayern München,German 1. Bundesliga,1,RDM,6,,2015-07-01,2025,21,Germany,1337,RDM,6,Right,4,3,4,High/Medium,Lean (170-185),Yes,186300000,#Crosser,"Leadership, Long Passer (AI), Playmaker (AI)",70,73,86,84,83,79,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,86+3,86+3,86+3,83+3,85+3,86+3,86+3,86+3,85+3,83+3,81+3,81+3,81+3,83+3,21+3,https://cdn.sofifa.net/players/212/622/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
202652,https://sofifa.com/player/202652/raheem-sterling/220002,R. Sterling,Raheem Sterling,raheem-sterling,"LW, RW",88,89,107500000,290000,26,1994-12-08,170,69,10,Manchester City,English Premier League,1,SUB,7,,2015-07-14,2023,14,England,1318,LW,10,Right,3,4,4,High/Medium,Unique,Yes,206900000,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI)",91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,,81+3,81+3,81+3,87,86,86,86,87,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,69+3,64+3,64+3,64+3,69+3,65+3,55+3,55+3,55+3,65+3,21+3,https://cdn.sofifa.net/players/202/652/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/220002,Bruno Fernandes,Bruno Miguel Borges Fernandes,bruno-fernandes,CAM,88,89,107500000,250000,26,1994-09-08,179,69,11,Manchester United,English Premier League,1,CAM,18,,2020-01-30,2025,38,Portugal,1354,LCM,11,Right,3,4,3,High/High,Unique,Yes,206900000,"#Playmaker, #Engine, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder","Solid Player, Leadership, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,,83+3,83+3,83+3,85,85,85,85,85,87+2,87+2,87+2,86+3,87+2,87+2,87+2,86+3,80+3,80+3,80+3,80+3,80+3,77+3,73+3,73+3,73+3,77+3,21+3,https://cdn.sofifa.net/players/212/198/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
200104,https://sofifa.com/player/200104/heung-min-son/220002,H. Son,Son Heung-min,heung-min-son,"LM, CF, LW",89,89,104000000,220000,28,1992-07-08,183,78,18,Tottenham Hotspur,English Premier League,1,LW,7,,2015-08-28,2025,167,Korea Republic,,,,Right,5,4,4,High/High,Unique,Yes,197600000,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,,85+3,85+3,85+3,87,87,87,87,87,86+3,86+3,86+3,86+3,80+3,80+3,80+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3,19+3,https://cdn.sofifa.net/players/200/104/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/kr.png
239818,https://sofifa.com/player/239818/ruben-santos-gato-alves-dias/220002,Rúben Dias,Rúben dos Santos Gato Alves Dias,ruben-dias,CB,87,91,102500000,170000,24,1997-05-14,187,82,10,Manchester City,English Premier League,1,RCB,3,,2020-09-29,2027,38,Portugal,1354,LCB,4,Right,4,2,3,Medium/High,Normal (185+),Yes,197300000,#Tackling ,"Solid Player, Leadership, Power Header",61,38,65,68,88,88,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,,61+3,61+3,61+3,59,60,60,60,59,61+3,61+3,61+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,86+3,86+3,86+3,80+3,17+3,https://cdn.sofifa.net/players/239/818/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
208722,https://sofifa.com/player/208722/sadio-mane/220002,S. Mané,Sadio Mané,sadio-mane,LW,89,89,101000000,270000,29,1992-04-10,175,69,9,Liverpool,English Premier League,1,LW,10,,2016-07-01,2023,136,Senegal,,,,Right,4,4,4,High/Medium,Unique,Yes,186900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Flair, Speed Dribbler (AI)",91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,,86+3,86+3,86+3,87,88,88,88,87,87+2,87+2,87+2,86+3,80+3,80+3,80+3,86+3,68+3,65+3,65+3,65+3,68+3,65+3,59+3,59+3,59+3,65+3,19+3,https://cdn.sofifa.net/players/208/722/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/sn.png
209331,https://sofifa.com/player/209331/mohamed-salah/220002,M. Salah,Mohamed Salah Ghaly,mohamed-salah,RW,89,89,101000000,270000,29,1992-06-15,175,71,9,Liverpool,English Premier League,1,RW,11,,2017-07-01,2023,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,186900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,,85+3,85+3,85+3,88,88,88,88,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/eg.png
215914,https://sofifa.com/player/215914/ngolo-kante/220002,N. Kanté,N'Golo Kanté,ngolo-kante,"CDM, CM",90,90,100000000,230000,30,1991-03-29,168,70,5,Chelsea,English Premier League,1,RCM,7,,2016-07-16,2023,18,France,1335,CDM,13,Right,3,2,4,Medium/High,Unique,Yes,185000000,"#Tackling, #Tactician ",Leadership,78,66,75,82,87,83,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,,72+3,72+3,72+3,77,77,77,77,77,78+3,78+3,78+3,79+3,82+3,82+3,82+3,79+3,85+3,87+3,87+3,87+3,85+3,85+3,84+3,84+3,84+3,85+3,20+3,https://cdn.sofifa.net/players/215/914/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1335/60.png,https://cdn.sofifa.net/flags/fr.png
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/220002,M. ter Stegen,Marc-André ter Stegen,marc-andre-ter-stegen,GK,90,92,99000000,250000,29,1992-04-30,187,85,241,FC Barcelona,Spain Primera Division,1,GK,1,,2014-07-01,2025,21,Germany,,,,Right,4,1,4,Medium/Medium,Unique,Yes,210400000,,"Rushes Out Of Goal, Comes For Crosses, Saves with Feet",,,,,,,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,43,35+3,35+3,35+3,35,38,38,38,35,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3,88+3,https://cdn.sofifa.net/players/192/448/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/de.png
235790,https://sofifa.com/player/235790/kai-havertz/220002,K. Havertz,Kai Lukas Havertz,kai-havertz,"CAM, CF, CM",84,92,94500000,130000,22,1999-06-11,188,82,5,Chelsea,English Premier League,1,SUB,29,,2020-09-04,2025,21,Germany,1337,CAM,7,Left,4,4,3,Medium/Medium,Unique,Yes,193700000,#Dribbler,"Finesse Shot, Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",82,78,79,84,45,66,72,81,78,84,80,86,84,53,78,85,77,86,78,83,75,74,75,77,69,77,42,38,82,81,73,84,39,46,38,6,8,11,10,12,,81+3,81+3,81+3,82,82,82,82,82,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,65+3,63+3,63+3,63+3,65+3,62+3,55+3,55+3,55+3,62+3,17+3,https://cdn.sofifa.net/players/235/790/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
237692,https://sofifa.com/player/237692/phil-foden/220002,P. Foden,Philip Foden,phil-foden,"CAM, LW, CM",84,92,94500000,125000,21,2000-05-28,171,69,10,Manchester City,English Premier League,1,SUB,47,,2016-07-01,2024,14,England,1318,RW,20,Left,3,4,3,High/Medium,Lean (170-185),Yes,193700000,"#Dribbler, #Acrobat","Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",84,78,80,87,56,57,75,79,47,84,59,86,73,59,78,88,86,82,90,83,91,82,49,79,44,77,64,59,82,84,64,82,58,59,47,8,15,6,10,13,,77+3,77+3,77+3,83,83,83,83,83,84+3,84+3,84+3,83+3,81+3,81+3,81+3,83+3,72+3,70+3,70+3,70+3,72+3,68+3,59+3,59+3,59+3,68+3,19+3,https://cdn.sofifa.net/players/237/692/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1318/60.png,https://cdn.sofifa.net/flags/gb-eng.png
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/220002,Ederson,Ederson Santana de Moraes,ederson,GK,89,91,94000000,200000,27,1993-08-17,188,86,10,Manchester City,English Premier League,1,GK,31,,2017-07-01,2026,54,Brazil,,,,Left,3,1,3,Medium/Medium,Unique,Yes,181000000,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64,40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3,https://cdn.sofifa.net/players/210/257/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/br.png
192505,https://sofifa.com/player/192505/romelu-lukaku/220002,R. Lukaku,Romelu Lukaku Menama,romelu-lukaku,ST,88,88,93500000,260000,28,1993-05-13,191,94,5,Chelsea,English Premier League,1,ST,9,,2021-08-12,2026,7,Belgium,1325,ST,9,Left,4,3,4,Medium/Medium,Unique,Yes,173000000,"#Poacher, #Strength, #Complete Forward","Speed Dribbler (AI), Power Header, Team Player",84,87,74,78,39,83,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,,87+1,87+1,87+1,81,84,84,84,81,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,61+3,59+3,59+3,59+3,61+3,58+3,57+3,57+3,57+3,58+3,19+3,https://cdn.sofifa.net/players/192/505/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1325/60.png,https://cdn.sofifa.net/flags/be.png
209658,https://sofifa.com/player/209658/leon-goretzka/220002,L. Goretzka,Leon Christoph Goretzka,leon-goretzka,"CM, CDM",87,88,93000000,140000,26,1995-02-06,189,82,21,FC Bayern München,German 1. Bundesliga,1,LDM,8,,2018-07-01,2026,21,Germany,1337,LDM,8,Right,4,3,4,High/Medium,Unique,Yes,160400000,#Tactician ,"Dives Into Tackles (AI), Long Shot Taker (AI)",81,82,82,84,81,86,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,,84+3,84+3,84+3,83,85,85,85,83,85+3,85+3,85+3,84+3,86+2,86+2,86+2,84+3,83+3,84+3,84+3,84+3,83+3,82+3,83+3,83+3,83+3,82+3,19+3,https://cdn.sofifa.net/players/209/658/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png
